term,estimate,se,stat,p,rel_time,bucket,direction,ci_lo,ci_hi
year::-5,0.333997135581503,0.101445938844519,3.29236576038201,0.000993483132782788,-5,total,RUS_exportateur,0.135163095446245,0.53283117571676
year::-4,0.234442723981384,0.096658403572226,2.42547688888945,0.0152882891334422,-4,total,RUS_exportateur,0.0449922529798207,0.423893194982947
year::-3,0.113210063562831,0.0502788690102266,2.25164300214877,0.0243448412667558,-3,total,RUS_exportateur,0.014663480302787,0.211756646822875
year::-2,0.0660233896479768,0.0522359853140518,1.26394456333182,0.206249925304041,-2,total,RUS_exportateur,-0.0363591415675647,0.168405920863518
year::0,-0.124797924696713,0.0679800455353508,-1.83580231101517,0.0663868995621085,0,total,RUS_exportateur,-0.258038813946001,0.00844296455257444
year::1,-0.297546643522318,0.080670513216289,-3.68841887400113,0.000225651949511314,1,total,RUS_exportateur,-0.455660849426244,-0.139432437618391
year::2,-0.488513484291098,0.0796713891609313,-6.13160495173908,8.69969135255357e-10,2,total,RUS_exportateur,-0.644669407046524,-0.332357561535673
year::3,-0.478647281936352,0.0804015645093055,-5.95320855828563,2.6293587808655e-09,3,total,RUS_exportateur,-0.636234348374591,-0.321060215498113
year::4,-0.523607017095098,0.101500463379556,-5.15866627265625,2.4871517563859e-07,4,total,RUS_exportateur,-0.722547925319028,-0.324666108871167
year::5,-1.02665562366574,0.16785050996984,-6.11648796211706,9.56601094180535e-10,5,total,RUS_exportateur,-1.35564262320662,-0.697668624124849
year::-5,0.402889274725227,0.134055336519611,3.00539527321456,0.00265235916642683,-5,embargo,RUS_exportateur,0.140140815146789,0.665637734303665
year::-4,0.208767597547048,0.118681833706389,1.75905267914486,0.0785685613558655,-4,embargo,RUS_exportateur,-0.023848796517474,0.441383991611571
year::-3,0.138282544741044,0.0643875943470813,2.14765819632322,0.0317409185839667,-3,embargo,RUS_exportateur,0.0120828598207646,0.264482229661323
year::-2,0.108244327242205,0.0580144933771769,1.8658152634112,0.0620672160999983,-2,embargo,RUS_exportateur,-0.00546407977706204,0.221952734261471
year::0,-0.121790658495552,0.0788383613616385,-1.54481468655706,0.122391093834156,0,embargo,RUS_exportateur,-0.276313846764364,0.0327325297732596
year::1,-0.288312192026324,0.0951820655035756,-3.02906004929567,0.00245315916990368,1,embargo,RUS_exportateur,-0.474869040413332,-0.101755343639316
year::2,-0.467423697152506,0.0909276868350689,-5.14060913042199,2.73849211531973e-07,2,embargo,RUS_exportateur,-0.645641963349241,-0.289205430955771
year::3,-0.489161511035111,0.0960748624277562,-5.09146199821974,3.55313092057304e-07,3,embargo,RUS_exportateur,-0.677468241393513,-0.300854780676708
year::4,-0.583945175031857,0.127551193505345,-4.57812395936056,4.69164654380132e-06,4,embargo,RUS_exportateur,-0.833945514302333,-0.33394483576138
year::5,-1.14658436046513,0.201904821884746,-5.67883594736352,1.35614466974493e-08,5,embargo,RUS_exportateur,-1.54231781135923,-0.750850909571023
year::-5,1.21566574651651,0.361697312604172,3.36100298275341,0.000776599868754525,-5,strategic_ne,RUS_exportateur,0.506739013812337,1.92459247922069
year::-4,1.28533231219715,0.380349528874662,3.37934508818785,0.000726587424223528,-4,strategic_ne,RUS_exportateur,0.539847235602815,2.03081738879149
year::-3,1.03689087202616,0.286106994537451,3.62413674542455,0.000289928188290912,-3,strategic_ne,RUS_exportateur,0.476121162732753,1.59766058131956
year::-2,0.0709196044692007,0.140662782961858,0.504181724375744,0.614133681809536,-2,strategic_ne,RUS_exportateur,-0.204779450136041,0.346618659074443
year::0,-0.3611877399023,0.194430890496704,-1.85766643859724,0.0632163973066631,0,strategic_ne,RUS_exportateur,-0.742272285275839,0.0198968054712387
year::1,-0.502210954191243,0.207530233740665,-2.41994115815827,0.0155230187338633,1,strategic_ne,RUS_exportateur,-0.908970212322948,-0.095451696059539
year::2,-0.136244862197053,0.277663215199055,-0.490683874345328,0.623650053538439,2,strategic_ne,RUS_exportateur,-0.6804647639872,0.407975039593094
year::3,0.232276084758305,0.232715707338565,0.998110902846706,0.318225583794174,3,strategic_ne,RUS_exportateur,-0.223846701625283,0.688398871141893
year::4,0.928811536296971,0.323977840710459,2.86689834792453,0.00414516130588453,4,strategic_ne,RUS_exportateur,0.293814968504472,1.56380810408947
year::5,-0.229856989326911,0.283300153465737,-0.811354976391535,0.417161847037279,5,strategic_ne,RUS_exportateur,-0.785125290119756,0.325411311465933
year::-5,0.0180897695636122,0.0670385091072724,0.269841465815799,0.787282220576146,-5,nonstrat_ne,RUS_exportateur,-0.113305708286642,0.149485247413866
year::-4,0.241753847813627,0.15058807067184,1.60539840065058,0.108406156164599,-4,nonstrat_ne,RUS_exportateur,-0.0533987707031785,0.536906466330433
year::-3,1.21716956874879e-05,0.0615170077052352,0.000197859033485663,0.999842131332997,-3,nonstrat_ne,RUS_exportateur,-0.120561163406574,0.120585506797949
year::-2,-0.034507421437713,0.0602494596923998,-0.572742421490395,0.566819109847046,-2,nonstrat_ne,RUS_exportateur,-0.152596362434817,0.0835815195593906
year::0,-0.118656497386969,0.0750157940413371,-1.58175353475008,0.113705846175473,0,nonstrat_ne,RUS_exportateur,-0.26568745370799,0.0283744589340517
year::1,-0.128150324232568,0.102746244044539,-1.24725069440998,0.212305590079543,1,nonstrat_ne,RUS_exportateur,-0.329532962559865,0.0732323140947284
year::2,-0.32717765913816,0.110153512899306,-2.97019723226839,0.00297608606778837,2,nonstrat_ne,RUS_exportateur,-0.543078544420801,-0.11127677385552
year::3,-0.293387774992497,0.127820300666106,-2.29531438639695,0.0217151137378442,3,nonstrat_ne,RUS_exportateur,-0.543915564298066,-0.0428599856869286
year::4,-0.344960698309629,0.153263959849027,-2.25076200986477,0.02440061490278,4,nonstrat_ne,RUS_exportateur,-0.645358059613722,-0.0445633370055358
year::5,-0.703017934185066,0.175605033039457,-4.00340424199063,6.24374801576426e-05,5,nonstrat_ne,RUS_exportateur,-1.0472037989424,-0.358832069427731
year::-5,0.293910744008733,0.07352147554512,3.99761759172476,6.39832076194703e-05,-5,total,RUS_importateur,0.149808651940298,0.438012836077169
year::-4,0.0347561006538202,0.0408511160342371,0.850799293333658,0.394880854282547,-4,total,RUS_importateur,-0.0453120867732845,0.114824288080925
year::-3,0.0284328404863272,0.0532144479672223,0.534306782696318,0.59312930029176,-3,total,RUS_importateur,-0.0758674775294285,0.132733158502083
year::-2,0.030405756814387,0.0281118602776672,1.08159888794489,0.279430798873709,-2,total,RUS_importateur,-0.0246934893298407,0.0855050029586148
year::0,-0.0904435732218906,0.0367834728404704,-2.45881006434992,0.0139398345020101,0,total,RUS_importateur,-0.162539179989213,-0.0183479664545687
year::1,-0.262630081952583,0.0600563012800459,-4.37306454701438,1.2251448136913e-05,1,total,RUS_importateur,-0.380340432461473,-0.144919731443693
year::2,-0.235252625887499,0.0749637954735125,-3.13821658043746,0.00169979229636969,2,total,RUS_importateur,-0.382181665015584,-0.0883235867594147
year::3,-0.282725580151994,0.0686747736696725,-4.11687676630594,3.84041284302447e-05,3,total,RUS_importateur,-0.417328136544552,-0.148123023759436
year::4,-0.399425104291801,0.0681059135432309,-5.86476391713418,4.49772175632544e-09,4,total,RUS_importateur,-0.532912694836534,-0.265937513747069
year::5,-0.891499085266613,0.111914382636955,-7.96590272189228,1.6402193773195e-15,5,total,RUS_importateur,-1.11085127523504,-0.672146895298181
year::-5,0.0461912530023162,0.150175044163202,0.307582749582003,0.758399848093939,-5,embargo,RUS_importateur,-0.248151833557559,0.340534339562192
year::-4,-0.215645672440936,0.154792841334106,-1.39312432398269,0.163582198785559,-4,embargo,RUS_importateur,-0.519039641455784,0.087748296573911
year::-3,-0.147146636583185,0.146970333824027,-1.0011995805859,0.316730329290173,-3,embargo,RUS_importateur,-0.435208490878277,0.140915217711907
year::-2,0.032519886030005,0.0790895957967636,0.411177800346474,0.680942165182414,-2,embargo,RUS_importateur,-0.122495721731652,0.187535493791662
year::0,0.0226780329548342,0.161098883523273,0.1407708884063,0.888050941700907,0,embargo,RUS_importateur,-0.293075778750782,0.33843184466045
year::1,-0.289802678554607,0.196937394003733,-1.47154723977465,0.141143181917808,1,embargo,RUS_importateur,-0.675799970801924,0.0961946136927099
year::2,-0.12293238974927,0.187389807904843,-0.656024952070474,0.511808069718331,2,embargo,RUS_importateur,-0.490216413242762,0.244351633744222
year::3,-0.32939783581563,0.183087223303626,-1.79913065407829,0.0719980156624589,3,embargo,RUS_importateur,-0.688248793490737,0.0294531218594764
year::4,-0.461440790049003,0.154555017821951,-2.98560859784305,0.00283014627437775,4,embargo,RUS_importateur,-0.764368624980028,-0.158512955117979
year::5,-1.36608658861123,0.171511187580617,-7.9649998806586,1.65223937077632e-15,5,embargo,RUS_importateur,-1.70224851626924,-1.02992466095322
year::-5,0.645427904208839,0.16989826304171,3.7989081974922,0.000145334908764493,-5,strategic_ne,RUS_importateur,0.312427308647087,0.97842849977059
year::-4,0.262794151458521,0.133158191977523,1.97354851065326,0.0484331033754246,-4,strategic_ne,RUS_importateur,0.00180409518257629,0.523784207734465
year::-3,-0.0266658591355288,0.116407838033769,-0.229072711820257,0.818812402386227,-3,strategic_ne,RUS_importateur,-0.254825221681717,0.201493503410659
year::-2,0.123540496640777,0.0780367202989569,1.58310723679182,0.113397024449827,-2,strategic_ne,RUS_importateur,-0.029411475145178,0.276492468426733
year::0,-0.00697696596069105,0.0743505315861347,-0.093838817448242,0.925237195852385,0,strategic_ne,RUS_importateur,-0.152704007869515,0.138750075948133
year::1,-0.119176766928952,0.146685161815744,-0.812466410737943,0.416524052744175,1,strategic_ne,RUS_importateur,-0.406679684087811,0.168326150229907
year::2,-0.33155762053619,0.185370429207286,-1.78862196065497,0.0736757186854591,2,strategic_ne,RUS_importateur,-0.694883661782471,0.0317684207100916
year::3,-0.377198546993071,0.200000592799803,-1.88598714490132,0.0592966869815729,3,strategic_ne,RUS_importateur,-0.769199708880684,0.014802614894542
year::4,-0.34526772662851,0.150432866838129,-2.29516151546876,0.0217238697799159,4,strategic_ne,RUS_importateur,-0.640116145631243,-0.0504193076257771
year::5,-0.301814224452512,0.244144568392966,-1.23621109590578,0.216380107290777,5,strategic_ne,RUS_importateur,-0.780337578502725,0.176709129597701
year::-5,0.296638158854985,0.0662861614939672,4.47511444575023,7.63703942503723e-06,-5,nonstrat_ne,RUS_importateur,0.16671728232681,0.426559035383161
year::-4,0.0601707427230667,0.0380861618484124,1.57985840008121,0.114139297844001,-4,nonstrat_ne,RUS_importateur,-0.0144781344998215,0.134819619945955
year::-3,0.041951037151088,0.0440436097010899,0.952488622885283,0.34084923315553,-3,nonstrat_ne,RUS_importateur,-0.0443744378630482,0.128276512165224
year::-2,0.0251710334599395,0.0269201716392529,0.935024998995069,0.34977541627862,-2,nonstrat_ne,RUS_importateur,-0.0275925029529961,0.0779345698728751
year::0,-0.117877655872959,0.0256080843622329,-4.60314228138074,4.16163707464901e-06,0,nonstrat_ne,RUS_importateur,-0.168069501222936,-0.0676858105229828
year::1,-0.259905868198583,0.0506594277495005,-5.13045408810695,2.89044055183729e-07,1,nonstrat_ne,RUS_importateur,-0.359198346587604,-0.160613389809562
year::2,-0.242394088673644,0.067448206496673,-3.5937810842398,0.000325913697813642,2,nonstrat_ne,RUS_importateur,-0.374592573407123,-0.110195603940165
year::3,-0.268447500317146,0.0646572726707702,-4.15185313621346,3.29793885150021e-05,3,nonstrat_ne,RUS_importateur,-0.395175754751856,-0.141719245882436
year::4,-0.389058877219804,0.0689851360759285,-5.6397493626973,1.70297864239339e-08,4,nonstrat_ne,RUS_importateur,-0.524269743928624,-0.253848010510984
year::5,-0.838844963264556,0.107706885902363,-7.78822037455412,6.79595752061529e-15,5,nonstrat_ne,RUS_importateur,-1.04995045963319,-0.627739466895925
