spec,geovar,term,coef,se,stat,p,n,collin,err,base,fenetre,year_min,year_max
spec1,ipd,ipd,-0.10144882717055,0.0154216502995065,-6.57833793402751,4.84547212035024e-11,389116,"","",compoC_fixe,1995-2014,1995,2014
spec2,ipd,ipd,0.104392942750585,0.0314243017732495,3.32204494164613,0.000893602996395749,529562,"","",compoC_fixe,1995-2014,1995,2014
spec3,ipd,ipd,0.118121435121938,0.0330721563370195,3.57162786478844,0.000354769269216663,539830,"","",compoC_fixe,1995-2014,1995,2014
spec4,ipd,ipd,0.0415589074179726,0.0180286229914675,2.30516259825509,0.0211574687107647,512570,"","",compoC_fixe,1995-2014,1995,2014
spec5,ipd,ipd,0.0415589074179726,0.0210022023099978,1.978788072058,0.0478398720092266,512570,"","",compoC_fixe,1995-2014,1995,2014
spec6,ipd,ipd,0.136520483630774,0.0470573913123876,2.90114857248442,0.00371797552141173,380260,"","",compoC_fixe,1995-2014,1995,2014
spec7,ipd,ipd,0.035450026334008,0.0178138521163486,1.99002585754452,0.0465880871633667,512285,"","",compoC_fixe,1995-2014,1995,2014
rob1,ipd,ipd,-0.0406967131823682,0.0255042297470221,-1.59568485643524,0.110559171319119,512570,"","",compoC_fixe,1995-2014,1995,2014
rob1,ipd,I(ipd^2),0.0322359319373921,0.00727851521516985,4.42891592370461,9.47079314054886e-06,512570,"","",compoC_fixe,1995-2014,1995,2014
rob2,ipd,ipd,0.0423254632391149,0.018233799756392,2.32126401543251,0.0202725990875937,409160,"","",compoC_fixe,1995-2014,1995,2014
rob3,ipd,ipd,-0.0205579737711727,0.0192594834295373,-1.06742082914041,0.285781846875286,348782,"","",compoC_fixe,1995-2014,1995,2014
rob4,ipd,ipd,0.0520914750984451,0.0201844169978824,2.58077679944435,0.00985782937190129,493052,"","",compoC_fixe,1995-2014,1995,2014
spec1,ipd,ipd,-0.0889503225023399,0.0150493595479854,-5.91057195614995,3.44997549644333e-09,481648,"","",compoC_fixe,1995-2018,1995,2018
spec2,ipd,ipd,0.0854209406002039,0.0313275953546366,2.72669956417709,0.00639712558307056,640784,"","",compoC_fixe,1995-2018,1995,2018
spec3,ipd,ipd,0.0980423295032802,0.0331919838422551,2.95379540943459,0.00313892025582999,656110,"","",compoC_fixe,1995-2018,1995,2018
spec4,ipd,ipd,0.0418756944294781,0.0152800079083995,2.74055449974334,0.00613356089093435,631374,"","",compoC_fixe,1995-2018,1995,2018
spec5,ipd,ipd,0.0418756944294781,0.018159905009407,2.30594237182332,0.021113852616949,631374,"","",compoC_fixe,1995-2018,1995,2018
spec6,ipd,ipd,0.141551162230873,0.03952931597468,3.5809160553535,0.000342391655439211,487702,"","",compoC_fixe,1995-2018,1995,2018
spec7,ipd,ipd,0.0353612710111188,0.0152345953225061,2.32111652869961,0.0202805555520472,631074,"","",compoC_fixe,1995-2018,1995,2018
rob1,ipd,ipd,-0.0339803844217381,0.023787537758681,-1.42849523840849,0.153149364177359,631374,"","",compoC_fixe,1995-2018,1995,2018
rob1,ipd,I(ipd^2),0.0309431060856722,0.00738247640419039,4.19142634416121,2.77206184728962e-05,631374,"","",compoC_fixe,1995-2018,1995,2018
rob2,ipd,ipd,0.0420835833556164,0.0154385084729815,2.72588400811294,0.00641295302939136,504808,"","",compoC_fixe,1995-2018,1995,2018
rob3,ipd,ipd,-0.00152738326470811,0.0153075522135766,-0.0997797194089229,0.920519209254272,466136,"","",compoC_fixe,1995-2018,1995,2018
rob4,ipd,ipd,0.0386840526593537,0.0185123107688588,2.08963932932822,0.036650210799069,607800,"","",compoC_fixe,1995-2018,1995,2018
spec1,ipd,ipd,-0.0714237598208604,0.0149016040193992,-4.79302494737341,1.65144780761816e-06,596166,"","",compoC_fixe,1995-2023,1995,2023
spec2,ipd,ipd,0.0462565108750851,0.0300551668746053,1.53905353672047,0.123791226830261,776746,"","",compoC_fixe,1995-2023,1995,2023
spec3,ipd,ipd,0.0622019917275955,0.0325814627636887,1.9091221342253,0.056246338014283,800780,"","",compoC_fixe,1995-2023,1995,2023
spec4,ipd,ipd,-0.0230895667802131,0.0218386639337987,-1.05727927542666,0.29038414878847,778448,"","",compoC_fixe,1995-2023,1995,2023
spec5,ipd,ipd,-0.0230895667802131,0.0284408893641591,-0.811844049058128,0.416881122795841,778448,"","",compoC_fixe,1995-2023,1995,2023
spec6,ipd,ipd,0.0292831184423828,0.0382003547613258,0.766566662151241,0.443339203121905,623812,"","",compoC_fixe,1995-2023,1995,2023
spec7,ipd,ipd,-0.0293929826406864,0.022216510258621,-1.32302428682653,0.185827301302552,778109,"","",compoC_fixe,1995-2023,1995,2023
rob1,ipd,ipd,-0.0889133371744461,0.029985896388704,-2.96517189354195,0.0030251384704562,778448,"","",compoC_fixe,1995-2023,1995,2023
rob1,ipd,I(ipd^2),0.0265317999846202,0.00851625826486043,3.11542923658093,0.00183677413474526,778448,"","",compoC_fixe,1995-2023,1995,2023
rob2,ipd,ipd,-0.0236314564286364,0.0219786604092787,-1.07520003442339,0.28228518003489,623023,"","",compoC_fixe,1995-2023,1995,2023
rob3,ipd,ipd,-0.0747804225700438,0.0256484526626585,-2.91559196781163,0.00355014457836432,612074,"","",compoC_fixe,1995-2023,1995,2023
rob4,ipd,ipd,0.0340174726326689,0.0181128007180344,1.87809015084005,0.0603688334723796,749816,"","",compoC_fixe,1995-2023,1995,2023
spec1,ipd,ipd,-0.030158471303094,0.0143089893650455,-2.10765907596284,0.0350680018472555,696295,"","",full,1995-2024,1995,2024
spec2,ipd,ipd,0.035221853078964,0.0297156310644127,1.18529715901425,0.235899976380518,989296,"","",full,1995-2024,1995,2024
spec3,ipd,ipd,0.0512541101170095,0.0323722064201104,1.58327515436728,0.113358763311921,1019488,"","",full,1995-2024,1995,2024
spec4,ipd,ipd,-0.0662976130881277,0.0318226700561629,-2.08334539405779,0.0372197518074421,965872,"","",full,1995-2024,1995,2024
spec5,ipd,ipd,-0.0662976130881277,0.0400537338001865,-1.6552167999833,0.0978805285957748,965872,"","",full,1995-2024,1995,2024
spec6,ipd,ipd,-0.0125742689252498,0.0440332084681655,-0.285563313750815,0.775212605215913,733288,"","",full,1995-2024,1995,2024
spec7,ipd,ipd,-0.0728282620639288,0.032263359175482,-2.25730562238769,0.0239889842921306,965118,"","",full,1995-2024,1995,2024
rob1,ipd,ipd,-0.137862034724348,0.0402453360411022,-3.42554065354433,0.000613577102620279,965872,"","",full,1995-2024,1995,2024
rob1,ipd,I(ipd^2),0.0288410365385726,0.00918521490637143,3.13994139849321,0.00168981633692796,965872,"","",full,1995-2024,1995,2024
rob2,ipd,ipd,-0.0677427498225155,0.0321371581853265,-2.10792595387125,0.0350373948425591,645311,"","",full,1995-2024,1995,2024
rob3,ipd,ipd,-0.122889173068996,0.0371622183099781,-3.30683093360979,0.000943578221826261,768142,"","",full,1995-2024,1995,2024
rob4,ipd,ipd,0.0282708811741591,0.0176866054828076,1.59843454424536,0.109946301863606,932992,"","",full,1995-2024,1995,2024
spec1,ipd,ipd,-0.0486368848317913,0.0147854721681832,-3.28950501401321,0.00100472905068354,438210,"","",full,1995-2014,1995,2014
spec2,ipd,ipd,0.103742277698418,0.0313774217268121,3.30627157966169,0.000945464018978822,651736,"","",full,1995-2014,1995,2014
spec3,ipd,ipd,0.117513753520525,0.0330032873291199,3.56066813431758,0.000369912361613989,662272,"","",full,1995-2014,1995,2014
spec4,ipd,ipd,0.0426332005502469,0.0179923519448154,2.36951793078568,0.0178112914173378,607569,"","",full,1995-2014,1995,2014
spec5,ipd,ipd,0.0426332005502469,0.0209742911350616,2.03264083042021,0.0420888232254243,607569,"","",full,1995-2014,1995,2014
spec6,ipd,ipd,0.136635752314019,0.0469650793808674,2.90930525648555,0.00362232983917929,423942,"","",full,1995-2014,1995,2014
spec7,ipd,ipd,0.0366042202417215,0.0177782476718861,2.05893296782033,0.0395006603611998,606938,"","",full,1995-2014,1995,2014
rob1,ipd,ipd,-0.040259103176078,0.0254381019472287,-1.58262999572827,0.113505822549824,607569,"","",full,1995-2014,1995,2014
rob1,ipd,I(ipd^2),0.0325024578645995,0.00726120674509162,4.4761785479487,7.59909412088874e-06,607569,"","",full,1995-2014,1995,2014
rob2,ipd,ipd,0.0423254632391149,0.018233799756392,2.32126401543251,0.0202725990875937,409160,"","",full,1995-2014,1995,2014
rob3,ipd,ipd,-0.0193745203022596,0.0192082433163636,-1.00865654308712,0.313139379886475,414490,"","",full,1995-2014,1995,2014
rob4,ipd,ipd,0.0541578265251695,0.0201475174630549,2.6880645034546,0.00718675124243011,585959,"","",full,1995-2014,1995,2014
spec1,ipd,ipd,-0.0357968372259342,0.017116853303819,-2.09132114358586,0.0365072856146767,258085,"","",full,2015-2024,2015,2024
spec2,ipd,ipd,-0.0216275595665731,0.0319285226047756,-0.677374266084527,0.498168521613535,337560,"","",full,2015-2024,2015,2024
spec3,ipd,ipd,-0.0189506696401016,0.0349268981704348,-0.542580951438255,0.587418357143341,357216,"","",full,2015-2024,2015,2024
spec4,ipd,ipd,-0.19834129664609,0.0425243611500071,-4.66418051399831,3.09849305839162e-06,322238,"","",full,2015-2024,2015,2024
spec5,ipd,ipd,-0.19834129664609,0.0531137263262549,-3.73427568285765,0.000188256194986134,322238,"","",full,2015-2024,2015,2024
spec6,ipd,ipd,-0.174452558718912,0.0564368007719099,-3.09111353465914,0.00199407372223441,225299,"","",full,2015-2024,2015,2024
spec7,ipd,ipd,-0.203471191801452,0.042847670095597,-4.74871075480858,2.04717480798936e-06,321856,"","",full,2015-2024,2015,2024
rob1,ipd,ipd,-0.137631640366929,0.0486104383528629,-2.83131864328937,0.00463565138974108,322238,"","",full,2015-2024,2015,2024
rob1,ipd,I(ipd^2),-0.0261316747914302,0.013783459193109,-1.89587203221777,0.0579769679804299,322238,"","",full,2015-2024,2015,2024
rob2,ipd,ipd,-0.199610333070473,0.0427365782499467,-4.67071397019771,3.00154645198692e-06,224752,"","",full,2015-2024,2015,2024
rob3,ipd,ipd,-0.19834129664609,0.0425243611500071,-4.66418051399831,3.09849305839162e-06,322238,"","",full,2015-2024,2015,2024
rob4,ipd,ipd,-0.0391658111703599,0.0189714545717123,-2.06446010886054,0.0389741123868542,310998,"","",full,2015-2024,2015,2024
spec10,ipd,period::1995-2007:ipd,0.00165244804603022,0.0254822247800182,0.0648470869516063,0.948295750353636,965872,"","",full,spec10_periodes,1995,2024
spec10,ipd,period::2008-2013:ipd,-0.0405416661226006,0.0240190601934389,-1.68789560441149,0.0914312705824582,965872,"","",full,spec10_periodes,1995,2024
spec10,ipd,period::2014-2017:ipd,-0.0942784599325837,0.024274770852058,-3.88380432125029,0.000102834679129847,965872,"","",full,spec10_periodes,1995,2024
spec10,ipd,period::2018-2021:ipd,-0.144026903779889,0.0268248458372014,-5.36916054071588,7.91039799404657e-08,965872,"","",full,spec10_periodes,1995,2024
spec10,ipd,period::2022-2024:ipd,-0.21235352799458,0.0368145049618378,-5.76820272918808,8.01213893988624e-09,965872,"","",full,spec10_periodes,1995,2024
